fold_a,fold_b,spearman_r,p_value,level
0,1,0.9913043478260868,7.113899561244952e-21,1
0,2,0.9956521739130434,3.5436963361656426e-24,1
0,3,0.9956521739130434,3.5436963361656426e-24,1
0,4,0.9956521739130434,3.5436963361656426e-24,1
1,2,0.9939130434782607,1.4236241665355262e-22,1
1,3,0.9895652173913043,5.243549771335644e-20,1
1,4,0.9921739130434782,2.2413639233727378e-21,1
2,3,0.994782608695652,2.622501591524754e-23,1
2,4,0.9930434782608695,6.159862590432425e-22,1
3,4,0.9956521739130434,3.5436963361656426e-24,1
0,1,0.9930434782608695,6.159862590432425e-22,2
0,2,0.9913043478260868,7.113899561244952e-21,2
0,3,0.9930434782608695,6.159862590432425e-22,2
0,4,0.9921739130434782,2.2413639233727378e-21,2
1,2,0.9982608695652172,1.5042355610053573e-28,2
1,3,0.9913043478260868,7.113899561244952e-21,2
1,4,0.994782608695652,2.622501591524754e-23,2
2,3,0.9895652173913043,5.243549771335644e-20,2
2,4,0.9965217391304346,3.0561886151409223e-25,2
3,4,0.988695652173913,1.259707067012172e-19,2
0,1,0.9626086956521739,5.788561169509927e-14,3
0,2,0.9852173913043477,2.3706547498966413e-18,3
0,3,0.9852173913043477,2.3706547498966413e-18,3
0,4,0.9747826086956521,8.041882700877982e-16,3
1,2,0.9713043478260868,3.2781481236812673e-15,3
1,3,0.9478260869565217,2.109019191564423e-12,3
1,4,0.9565217391304346,2.9563631530944734e-13,3
2,3,0.9773913043478261,2.448685762642644e-16,3
2,4,0.9817391304347826,2.3843469010099474e-17,3
3,4,0.9617391304347825,7.423994544863276e-14,3
